gold_left,sum_unit_tier,mean_unit_rarity,placement
51,19,3.4,5
49,19,2.0,3
9,16,3.555555555555556,2
0,18,1.4444444444444444,5
52,18,3.6666666666666665,1
0,18,1.875,2
1,16,2.2222222222222223,4
0,18,3.4444444444444446,3
0,17,2.0,6
1,17,3.0,8
2,14,1.5,7
80,21,5.727272727272728,1
1,15,4.818181818181818,7
0,18,3.4444444444444446,3
0,20,3.272727272727273,2
15,13,3.75,8
0,16,3.0,5
0,16,2.8,6
2,16,2.2222222222222223,4
1,21,1.7777777777777777,1
1,14,2.2222222222222223,6
1,16,5.3,3
32,17,3.1,5
51,18,1.0,7
1,17,2.0,4
0,14,2.375,8
3,16,3.333333333333333,2
13,18,3.3,2
0,13,3.333333333333333,8
0,11,3.75,7
1,19,3.9,1
0,13,3.875,4
4,18,3.4,3
1,17,3.0,6
1,16,2.0,5
3,21,1.8888888888888888,1
0,14,3.6666666666666665,7
0,17,4.1,2
1,16,3.1,6
1,12,2.6666666666666665,8
5,19,3.4,4
1,17,3.2,3
1,17,2.6666666666666665,5
8,20,1.8888888888888888,3
22,14,2.75,7
1,13,2.75,6
3,12,2.625,5
9,16,2.4444444444444446,4
11,19,5.9,1
2,17,2.888888888888889,2
23,16,4.7,8
0,14,3.6,5
0,13,3.0,7
6,17,3.4444444444444446,6
20,14,2.2857142857142856,8
1,17,3.1,1
15,19,1.5,4
0,16,4.0,3
30,16,3.625,2
1,15,2.625,2
35,16,5.3,1
19,17,1.5,8
0,14,3.6666666666666665,4
0,15,2.7777777777777777,3
1,14,3.875,7
3,16,1.75,6
2,15,2.0,5
20,14,3.4444444444444446,8
0,16,3.7,5
1,16,4.111111111111111,1
0,16,2.0,4
1,19,3.0,2
0,17,3.7,3
1,14,2.0,6
25,14,3.6666666666666665,7
29,13,2.0,7
2,15,2.25,8
0,15,2.625,3
1,17,2.4,5
0,21,1.3333333333333333,2
51,14,3.75,4
4,13,2.875,6
6,21,4.076923076923077,1
11,16,4.1,1
10,14,4.444444444444445,8
14,14,3.25,5
53,15,2.5,3
8,15,2.2222222222222223,2
1,16,4.0,7
6,14,2.7777777777777777,4
0,14,3.4444444444444446,6
5,17,3.0,4
1,19,0.625,3
0,21,3.1818181818181817,2
10,12,3.4285714285714284,8
37,13,2.0,7
1,15,3.111111111111111,6
8,20,2.0,1
0,12,2.375,5
1,19,3.6,1
3,17,3.7,5
0,14,2.75,8
1,17,4.1,4
1,17,2.7777777777777777,3
0,16,4.3,7
22,17,2.25,6
8,17,3.4444444444444446,2
6,19,3.8181818181818175,1
0,13,2.375,6
1,16,3.25,4
1,20,3.0,3
1,14,2.625,7
0,15,4.888888888888889,2
1,15,4.1,5
22,17,2.25,7
0,13,1.5714285714285714,8
1,14,5.0,4
1,17,4.090909090909091,3
1,18,0.8571428571428571,5
54,15,2.6666666666666665,2
4,18,3.3,6
11,18,3.555555555555556,1
1,17,3.25,4
3,20,3.7,1
1,16,5.2,2
0,13,3.375,8
49,12,3.0,7
1,18,5.0,3
3,17,3.9,5
0,14,3.5,6
6,17,3.111111111111111,3
2,15,2.4444444444444446,8
35,18,1.625,4
1,15,1.75,5
1,14,2.75,7
0,14,1.5,6
56,20,2.0,1
0,16,2.4444444444444446,2
1,16,3.4444444444444446,7
2,21,4.727272727272728,1
3,21,1.25,6
0,16,2.7777777777777777,3
