match_id,puuid,gold_left,placement
NA1_5214900748,zVlXLPPza_IOPJq66xiYp0bq_LEmDDnZCCaKa7oCarmhWwPVkgQO-3kE4SiE7HGUMhXhB7IjFH8nbw,2,3
NA1_5214900748,TftTCCZh6aQVAAcMEaRLTq9JuUsIyUYIKZo5PNIKZ6JsmHl8ggVqdd-_x_Ks_OOJefrhc42w83wMjg,0,7
NA1_5214900748,CnOPL--qpAIyQydEXJ3frKM31CBbm4eLtN1Fy_AiSxlj6hcHbPa7YnretgmL9ggXvqH92WkST7pgZA,2,8
NA1_5214900748,taWSIHMWsELx735nEVFMZGHbAHrXe8CIXnXK4idXPLvD_0sGFhElB2yo_EWIbPeQk3HwD4pmp3Pckw,0,6
NA1_5214900748,E0LjqtAODVqSZK7n8MqiorLYQh1JS899s6SehTgDm65rPsyduP_XiLATL0ACVQmWr5QtfVlrn38cmw,1,5
NA1_5214900748,ANTi0B1f-qRec08EUXBoB95ss65S2YZez8CfYL1FY5s-3weW2SaP3A0yhgftfJou3CuwYAMQKcLbpQ,1,2
NA1_5214900748,Pz4j86ApUpq-lWRNJXIbBBvcDIM0Rd4QPoSVt2VL5z4Fda90KE_u-KZRPKbMp8mGsHa2UUsEmoOiTQ,1,4
NA1_5220206561,pApqIJtrj0MTSzP1DmfssUOA20_uPraJ4HIXGleI-k3EIgIjc_A6lLJnaowgBct_4E2iiSbmzjq2Aw,54,1
NA1_5220206561,ZhcoJlf2-Cu-V9abHYAq3IYtwjp-_Ys3Yu-G-jZiD2TQL_QP86f0iA2NVmUuJoljVvma_VS-j2_axw,0,4
NA1_5220206561,Z-jgkkhT0k9STfSPwe34KyYDLP7CGlsQ_hEjm8kd16WH6-O6AjnKvkMg8qwMghobS1Vs4pDN8j3YyA,1,3
NA1_5220206561,XlHZEUaGEtW852c4fEH30ZpA8mDhznQOche37SrMLMHozd7jfCViQL1Q_09pwGaPScGDl2nc-ntcyw,19,2
NA1_5220206561,rgE6RPFub16S3YBBPNQ4iowfuW6J9_8-ZPokuyAzf9p5zRfv9YHsR0lIazwroxtzql_7GOR_g_v2iw,0,7
NA1_5220206561,dmlBxFeUM33gVOCCZgzkjur1ny1_0f-KHgjrilpO5LEB20Pvzoeu0wuBkobIgBDfai4c27vOWBBnQA,1,8
NA1_5220206561,ZXfC54gzyYpbfOaDJldu8enMrXcoqUSgOh8PkMMphQQ0rxRJjZhSNVE5mIrWbGBoWDbtK107YRXHVA,0,6
NA1_5220206561,kDdy8D4G9dMQ2cP0O1alWIrtPEbgeZWmrjDP2jdjrvg7TeYJvzDSgYTMhHOe5k-dNGNpGzxQ3TZVrg,4,5
NA1_5220071029,-0l4X_UT-_2vdckVPWO-9r1eFdwcORbBt3-28KIpQc4VVR2JDKfsET1sj2u4ypkfIk5KZYAdVUZpCw,0,8
NA1_5220071029,_2HH0iiP-q2-99mAe7mk7qKn1QGiuQNfcRMqvuJiDOZZSKqZ0G5kajAmz88mBwg2geXDLZhA-VcK6w,1,4
NA1_5220071029,BE98ug9jmIN-HDGmb_MfAZXMNnp_HQxNDxqOZbWc-7addxHk1vq6o6RB-ifWrYBmE-omqJigVwR63g,7,5
NA1_5220071029,LHyQBENS4SQaPH93Lyy0uAgRVb30OUecVA7YWhSsCuMKkqZRtVioxcC0eJZ8GH-ChZ6NI1RfLuPxYw,2,6
NA1_5220071029,WXqyTpxq8p_B-nCY5t3BxeE6B1JK_LrSt6RWwd1m2ajjfQmUjbSRh9Tco0Cp1EWjczCx5_iRK3mieg,5,3
NA1_5220071029,74xv9--BZz07qTMJYiZpmzVI-Ks2m2PtnkSZGey8MTVtu6WBwmLu9RHMCaQnaIL8pV1fVW1ebVVEjw,5,2
NA1_5220071029,9YrzSwC2L8QjDUJ7bkdsFsEF-N42YuA5keHYZsENW32KhLLBUsMPHntREdiI6cWxkN92DeTKLBeCHw,4,7
NA1_5220071029,fJNWw77g7BsR4ljkENuxdTeU1cpJjazAZ675_Fqltj2D6-8Ej_esR0j3d5HQliXxPLtyhoDVD7npXg,4,1
NA1_5221374248,nTaUVVKhPSu4xXE1xzsgdWggo4aksX65-AxRwAPZqFG7c8y8iWWrzUIzmjH1P0_vefbVK6mFlaJ_nw,0,6
NA1_5221374248,oSTQ7bL0hN-Os6T0N9vba0VNG0KcFUfhBDdrPZrY48vGJDg6w5guPfyHBkZ387780WxeUuUAogaeZA,3,8
NA1_5221374248,qFDGRDn9XU61kUifFOWRm6gMvNFTEcEsHtVxSz-6tVPofb_08fPqV8DEGhaF3HzkfZAlmUEE5fAOrg,51,1
NA1_5221374248,Rid9uvSukINwGv-ucu48H4ZnkvrzIFy1Ax_kTqu3rO26n0FI4tKP_zxSOjJ_YoN5jf4fJyzeXD4T2A,1,3
NA1_5221374248,wjziaJEizlKMauVJsK2LEks5lceAKt12okHZjh6Hk7NWIL6NEY4-eaNVr4tQrkns_EEImHz9ngI4bw,39,2
NA1_5221374248,Va4hPQ78xVz3kOxHrLFLBKygEkkg29Ri5rVZxooMay80TpkzN48eRoScPnPN4uYBITiTwmz_P8ytKg,2,7
NA1_5221374248,vXky5fgshpIZPi3-X_RoQ7VUK01L_tlhxs2-W68IoJPOhcv5LnvvwW0p5bPVf2ScoddC-oLBlTG2PA,13,5
NA1_5221374248,rEBkrI-eHhegOnga8k4x-KdY7VrlLv3b82wDQQ4_1xyRy9wmJnLtF-yU4UvonVD7_xqsbZ6qxs-MnA,32,4
NA1_5220156792,9YrzSwC2L8QjDUJ7bkdsFsEF-N42YuA5keHYZsENW32KhLLBUsMPHntREdiI6cWxkN92DeTKLBeCHw,5,5
NA1_5220156792,OtSo3X5vNfkNnxXb9uZQVIoQW8I--lLdFG55Td4jRv3uXYIsbMbVvIqJbOyiAfrehKf5ugLFMEv98w,20,8
NA1_5220156792,ODENQsl0YTLSsZA6GelM18gMNz2syVjdGJpIZJWbRWDi7vxcH3BljMQGQ3ksODjdrR3Li5BbosxQsg,0,6
NA1_5220156792,NQN8ERYmBXpoFJcTEdhVPw0ydCEvPlT_fFp0OBauJiHpG75Z4PUu1Ur3Sx99PH2aSw31I8-xNOFkHg,11,3
NA1_5220156792,JT_zjeZ09kq3eYafSESOhIE_SPWySAOrH7RNLmrMH5EfvdbM2dwR_2BR83T8x-9HnsrlsEbXGtViKg,1,1
NA1_5220156792,og8ezh32U680410_R7sa77Tiwb-FbMWN7pFk51ESMbZHE2wARuT_t6fcAOYzp__1MEfzIgk5blWfHg,1,7
NA1_5220156792,A5C2U0RmiHhQ-l94FcWBi7zw4kPm1NmrZW9qzovLk0xR3QsiGH2sgxS2LkK6sm2tz0r8taOyerbmCA,16,4
NA1_5220156792,VEraJCw1b8-hhYOR2w6a41Gvxda_Z3VEmYhoAyglmx3u7587UuvKJFuQMX-HriDTda_sPh5cZcHJ_A,19,2
