gold_left,sum_unit_tier,mean_unit_rarity
1,17,3.4444444444444446
1,21,3.8181818181818175
1,14,2.375
3,17,4.636363636363637
1,16,1.8888888888888888
4,17,3.1818181818181817
0,12,3.375
3,16,2.7777777777777777
2,18,3.8
0,18,3.7
6,18,3.0
18,17,3.7
0,14,2.875
0,14,3.125
44,15,2.25
1,17,3.7
28,18,2.4444444444444446
49,20,3.1
2,16,4.1
1,11,3.857142857142857
0,17,2.2222222222222223
3,15,3.6666666666666665
31,16,4.0
0,16,3.0
2,16,3.2222222222222223
0,15,3.0
17,14,3.0
1,15,2.25
1,17,2.333333333333333
0,14,2.75
24,17,4.111111111111111
1,14,2.875
0,20,3.333333333333333
4,14,2.75
2,18,3.1
3,18,1.4444444444444444
0,13,4.3
0,19,3.2
0,13,2.5
6,18,5.3
2,15,4.25
