gold_left,sum_unit_tier,mean_unit_rarity
9,13,3.6666666666666665
11,17,2.75
0,15,2.555555555555556
0,13,3.555555555555556
0,19,1.5555555555555556
51,19,2.4
3,17,2.7777777777777777
7,17,1.4285714285714286
1,11,2.875
3,19,2.0
6,14,3.333333333333333
1,18,2.4444444444444446
4,13,2.75
3,15,2.7777777777777777
0,17,2.25
1,13,2.2857142857142856
1,14,2.571428571428572
0,18,3.9
3,13,2.0
1,20,4.2
1,22,3.333333333333333
0,18,2.333333333333333
2,19,3.0
2,20,1.0
1,14,3.125
1,16,3.7
0,17,3.6
4,15,4.222222222222222
20,20,2.555555555555556
52,19,2.0
1,16,2.4444444444444446
0,18,2.1
1,15,2.625
2,16,3.111111111111111
10,18,2.75
0,21,3.5
4,19,3.111111111111111
7,18,3.2
6,14,2.625
0,15,4.0
7,18,2.333333333333333
0,17,1.75
1,15,3.6666666666666665
4,14,3.7
45,19,3.4
7,11,2.375
1,19,3.3
0,16,3.555555555555556
32,17,3.125
0,14,1.7142857142857142
41,13,4.111111111111111
0,13,2.375
14,16,3.0
1,16,3.111111111111111
1,17,3.555555555555556
1,15,2.625
0,17,3.4
0,17,1.0
1,15,4.666666666666667
5,20,4.909090909090909
1,14,2.875
0,16,2.2222222222222223
16,17,3.111111111111111
8,22,2.4444444444444446
3,17,3.7
0,10,3.25
2,14,2.75
11,17,3.0
2,12,2.7777777777777777
1,16,3.5
0,15,4.5
8,14,4.444444444444445
1,16,3.7
0,14,3.4444444444444446
1,17,1.1111111111111112
1,18,3.1
0,18,2.555555555555556
1,20,3.0
13,11,2.375
2,16,2.555555555555556
0,20,1.125
1,14,4.444444444444445
36,19,4.1
3,15,4.4
1,14,3.5
1,19,3.0
0,14,2.555555555555556
9,18,3.111111111111111
0,19,0.875
1,17,2.888888888888889
1,19,4.727272727272728
1,17,3.555555555555556
7,17,2.888888888888889
14,17,2.888888888888889
1,15,4.090909090909091
8,16,3.8
0,19,2.6666666666666665
0,16,4.636363636363637
34,14,3.0
0,20,1.25
9,17,3.9
0,14,3.4444444444444446
0,18,2.6666666666666665
0,18,3.5454545454545454
2,15,3.888888888888889
1,17,3.6
2,12,2.125
33,21,2.555555555555556
0,14,2.888888888888889
0,18,1.875
0,15,4.666666666666667
19,19,4.7
0,13,2.75
9,18,3.0
50,19,3.0
12,20,4.5
3,17,2.6666666666666665
50,14,2.5
25,10,2.875
5,15,3.2222222222222223
0,14,2.142857142857143
1,12,2.75
6,18,5.0
0,16,3.0
1,17,2.5
1,21,3.6666666666666665
0,15,3.4444444444444446
0,15,2.333333333333333
1,13,2.75
1,21,4.583333333333333
0,17,3.333333333333333
0,14,3.125
29,14,1.2857142857142858
0,14,2.7777777777777777
8,15,3.333333333333333
1,18,3.0
5,17,1.25
0,17,2.7777777777777777
0,17,3.6
3,18,2.111111111111111
1,15,3.125
0,11,3.125
0,16,2.0
0,21,2.9
0,17,2.25
0,15,3.111111111111111
1,17,1.5555555555555556
42,16,1.7142857142857142
3,18,4.2727272727272725
21,14,2.142857142857143
2,16,2.9
0,15,2.375
1,17,3.333333333333333
0,16,5.1
61,9,0.2
1,19,5.545454545454546
0,16,2.555555555555556
0,16,2.555555555555556
42,18,3.555555555555556
2,20,2.4444444444444446
3,23,4.538461538461538
1,15,2.625
10,14,3.333333333333333
0,15,2.2222222222222223
0,16,3.0
84,20,1.5
6,12,5.25
0,11,2.375
0,17,3.2222222222222223
52,15,2.375
0,18,2.7777777777777777
35,17,3.333333333333333
0,18,3.6
3,14,3.125
24,21,1.75
0,14,2.25
1,14,4.75
6,17,1.75
50,14,3.6666666666666665
13,16,2.5
2,17,3.3
0,14,3.375
0,17,3.6666666666666665
10,15,2.875
4,13,3.6
6,15,2.75
56,14,2.125
1,20,1.5
1,19,2.5
9,19,3.7
4,14,3.9
3,15,2.0
0,18,3.4444444444444446
3,21,1.8888888888888888
50,17,3.0
24,19,3.5
1,13,4.9
0,10,2.125
0,15,4.0
3,16,2.555555555555556
7,12,2.5
1,14,1.875
1,19,4.0
0,15,4.4
2,19,3.7
0,18,3.0
1,19,3.5
0,21,3.8
2,18,4.1
1,14,2.25
6,13,2.857142857142857
0,16,1.875
49,13,2.4285714285714284
0,15,2.571428571428572
51,17,2.7777777777777777
0,22,4.363636363636363
1,19,3.6
0,18,2.0
10,16,2.0
1,18,4.636363636363637
2,21,4.0
2,17,3.111111111111111
0,13,3.625
4,19,4.1
0,10,4.375
48,18,3.5
20,18,3.8
1,17,2.4444444444444446
2,19,5.0
0,16,2.25
0,15,2.625
0,14,3.4444444444444446
50,16,3.125
30,18,2.333333333333333
2,16,4.666666666666667
25,15,3.0
6,15,3.555555555555556
49,16,2.5
3,16,3.888888888888889
0,15,2.0
1,17,1.75
0,14,2.555555555555556
1,15,2.7
3,16,3.7
1,16,3.6666666666666665
51,16,2.625
2,16,2.6666666666666665
0,15,4.0
3,23,4.416666666666667
0,20,4.454545454545454
4,16,3.6666666666666665
11,20,4.818181818181818
7,11,2.1666666666666665
0,13,2.7777777777777777
0,16,3.6
1,17,3.111111111111111
1,17,2.0
1,16,3.6666666666666665
2,15,2.333333333333333
39,16,1.7142857142857142
0,15,3.6666666666666665
1,15,4.090909090909091
56,17,4.6
2,16,2.25
35,17,1.375
1,12,2.75
31,16,0.2857142857142857
2,18,3.7
1,18,1.625
0,14,3.4444444444444446
4,19,4.090909090909091
0,16,3.1
1,12,2.2857142857142856
5,17,2.0
5,19,3.3
0,17,2.75
4,18,2.6666666666666665
0,17,2.0
1,20,5.545454545454546
13,18,2.6666666666666665
1,15,3.4444444444444446
2,16,2.375
11,17,2.7777777777777777
1,16,4.444444444444445
3,14,3.0
0,15,2.375
1,19,2.555555555555556
1,18,3.4
1,17,2.888888888888889
5,22,2.7
30,17,2.7777777777777777
42,13,3.125
4,18,1.5
53,16,3.555555555555556
4,15,2.571428571428572
41,17,2.555555555555556
1,16,2.7777777777777777
6,15,1.8571428571428568
21,13,1.3333333333333333
1,16,2.25
0,19,4.636363636363637
1,14,3.2222222222222223
4,18,2.6666666666666665
0,16,5.7
2,15,2.0
3,16,2.6666666666666665
2,16,3.0
0,14,3.0
0,16,4.545454545454546
3,17,3.6
0,15,2.7777777777777777
3,18,4.5
0,15,2.75
3,17,2.875
3,19,3.8
10,15,2.0
39,16,1.75
3,18,3.0
2,17,3.111111111111111
1,20,1.375
1,10,2.142857142857143
0,15,3.6666666666666665
2,17,2.888888888888889
2,19,2.7
2,22,3.9166666666666665
15,19,3.2
0,13,2.375
19,14,1.75
0,12,2.4285714285714284
1,18,3.625
5,17,1.0
1,15,3.111111111111111
12,17,2.125
1,19,2.888888888888889
3,17,2.7777777777777777
1,16,3.7
0,18,3.7777777777777777
15,18,2.888888888888889
0,15,2.7777777777777777
51,15,3.333333333333333
1,14,2.625
3,15,2.0
2,15,4.555555555555555
20,18,2.0
5,21,3.2
1,12,4.444444444444445
9,13,2.875
0,14,2.888888888888889
35,18,1.625
21,14,3.375
1,19,3.6
4,13,2.625
1,16,2.125
1,15,2.2222222222222223
0,14,2.75
51,17,3.5
0,21,4.25
1,19,3.6
4,19,3.8
2,17,2.555555555555556
1,14,2.333333333333333
6,15,3.111111111111111
4,18,3.9
0,15,4.0
6,15,3.0
8,17,2.4444444444444446
11,14,2.142857142857143
0,14,2.75
4,20,4.0
0,16,2.2222222222222223
6,18,2.25
0,17,4.3
0,13,2.0
51,16,1.875
0,16,4.0
5,17,3.7
6,19,3.5
0,12,2.111111111111111
9,19,3.7
1,8,6.0
0,15,4.6
1,19,1.6666666666666667
1,13,1.6666666666666667
3,24,3.909090909090909
8,15,3.2222222222222223
3,16,2.0
1,15,4.444444444444445
0,14,3.1
9,14,1.5714285714285714
0,18,3.090909090909091
0,16,3.4
0,13,3.333333333333333
5,16,3.4444444444444446
1,13,3.5
0,16,2.888888888888889
35,15,0.5
32,19,3.5
5,15,3.4444444444444446
3,12,4.0
49,15,3.4444444444444446
3,12,2.125
1,17,3.6
33,19,3.3
1,19,2.8
1,16,4.090909090909091
1,14,2.375
0,17,2.888888888888889
1,17,4.363636363636363
17,14,1.625
13,14,2.875
0,14,2.2857142857142856
5,18,3.2222222222222223
2,16,3.5
2,16,2.5
5,16,2.555555555555556
1,20,4.0
18,17,1.7142857142857142
48,16,2.0
5,16,2.555555555555556
9,19,4.1
15,19,1.5
1,19,2.888888888888889
1,13,3.0
1,15,3.333333333333333
0,15,3.9
1,15,2.625
10,11,2.875
1,17,2.25
6,11,1.0
53,12,4.666666666666667
11,17,2.0
4,17,3.9
3,20,3.8181818181818175
21,14,1.7142857142857142
4,17,2.6666666666666665
0,14,3.125
2,15,2.25
5,15,2.375
0,16,3.4444444444444446
8,21,2.333333333333333
30,15,3.555555555555556
7,7,6.75
1,6,6.0
0,9,3.75
6,15,4.0
5,17,2.555555555555556
40,16,2.375
1,13,2.375
12,17,4.222222222222222
1,16,2.555555555555556
1,14,4.5
1,19,2.333333333333333
10,15,2.7777777777777777
2,17,2.0
5,16,2.0
7,16,2.375
4,17,3.2222222222222223
24,19,3.8
1,22,2.6
51,19,1.375
0,23,3.8181818181818175
9,13,1.6666666666666667
31,16,4.1
2,20,4.090909090909091
11,19,1.0
29,16,1.75
2,18,1.5
0,16,3.7
1,15,3.0
1,14,3.25
7,18,3.2
57,15,2.555555555555556
1,14,3.555555555555556
1,12,3.0
2,6,6.0
3,20,3.636363636363636
2,18,3.363636363636364
3,14,2.555555555555556
12,17,3.333333333333333
1,18,2.555555555555556
18,20,4.090909090909091
1,16,4.8
1,13,1.7142857142857142
0,16,4.5
1,14,3.0
1,16,3.4444444444444446
0,16,3.6
22,18,3.7
8,14,4.111111111111111
0,16,4.3
14,17,3.5
0,16,2.375
3,18,2.6666666666666665
11,20,2.4444444444444446
14,19,2.6666666666666665
3,20,3.6
1,16,3.111111111111111
51,18,2.875
26,14,2.625
9,14,2.5
18,16,3.888888888888889
1,15,4.111111111111111
0,16,3.7
16,14,1.3333333333333333
0,15,3.111111111111111
0,19,3.727272727272727
5,22,2.4444444444444446
9,14,5.555555555555555
1,14,2.875
1,14,2.875
2,18,2.6666666666666665
51,13,3.125
11,15,2.75
1,18,2.0
0,14,4.2
1,16,3.2222222222222223
9,17,2.25
2,14,1.8571428571428568
63,16,2.4444444444444446
2,22,2.2222222222222223
0,13,3.111111111111111
0,18,3.4444444444444446
1,15,1.875
0,19,4.2727272727272725
1,14,4.222222222222222
0,18,1.875
0,14,2.375
0,20,2.8
0,20,3.3
0,19,3.1
11,22,2.6666666666666665
39,15,2.75
10,15,3.333333333333333
6,16,3.4444444444444446
39,15,2.0
3,8,3.2
0,16,2.0
30,17,4.4
47,16,2.0
4,19,2.2222222222222223
6,14,2.375
30,14,2.0
42,13,2.0
7,16,4.6
12,14,1.625
0,14,2.625
0,17,3.333333333333333
0,17,2.8
7,21,2.1
16,13,2.0
78,16,3.2222222222222223
1,14,3.111111111111111
1,16,2.0
0,16,5.1
1,11,2.142857142857143
21,15,3.0
0,14,2.375
21,16,1.8571428571428568
0,14,2.75
3,18,3.2222222222222223
0,14,3.555555555555556
2,19,3.7
2,15,3.555555555555556
1,12,2.875
49,14,2.875
1,13,2.0
3,14,1.875
2,20,3.363636363636364
1,12,2.625
25,14,2.875
1,16,2.75
3,19,3.0
0,15,3.0
2,19,5.0
0,19,2.25
0,18,1.0
2,19,3.4
23,18,1.3333333333333333
0,22,2.636363636363636
1,17,2.6
4,21,3.6
4,19,2.5
2,19,3.1
7,20,4.833333333333333
0,13,3.25
0,13,3.111111111111111
0,13,4.222222222222222
1,14,1.75
1,15,2.333333333333333
1,13,1.0
0,13,2.7777777777777777
0,15,2.75
1,16,1.875
22,17,2.25
0,17,2.2222222222222223
1,15,3.333333333333333
1,13,3.125
53,18,2.0
5,21,5.0
51,16,2.625
51,14,2.875
16,18,2.555555555555556
0,17,2.375
0,14,2.625
6,15,3.2222222222222223
0,15,4.0
6,14,2.375
1,17,5.181818181818182
1,19,3.4
6,15,3.25
3,15,3.333333333333333
0,19,4.636363636363637
23,15,2.5
1,21,4.0
0,17,3.111111111111111
2,19,2.6666666666666665
0,16,2.4444444444444446
0,17,3.0
1,15,3.6666666666666665
25,19,2.875
1,14,4.0
2,19,3.6
0,12,2.0
9,17,4.363636363636363
0,15,3.375
43,18,3.333333333333333
3,16,2.888888888888889
0,16,3.1
0,15,3.5
1,14,2.375
1,16,2.0
0,14,2.375
9,17,3.8
4,13,4.444444444444445
5,20,4.181818181818182
3,21,3.5
30,17,1.0
30,16,3.4444444444444446
0,21,3.8181818181818175
0,17,2.6666666666666665
14,18,4.454545454545454
4,18,2.0
3,20,1.3333333333333333
2,19,3.0
6,15,4.0
4,16,2.333333333333333
5,22,4.25
1,17,3.7
10,18,1.5
0,13,2.5
28,16,2.375
23,14,2.0
1,14,2.25
6,17,3.7
1,15,2.0
12,18,4.1
0,14,1.875
1,13,3.25
8,17,3.1
1,13,2.0
0,14,2.0
22,22,4.666666666666667
1,15,4.5
2,16,2.0
4,17,2.888888888888889
2,17,2.8
1,15,1.625
2,17,4.0
1,17,2.555555555555556
19,17,3.888888888888889
1,14,3.375
3,13,3.0
1,14,2.625
47,18,3.111111111111111
0,16,2.25
0,14,2.75
2,16,4.111111111111111
1,8,3.6666666666666665
42,16,3.9
1,14,2.142857142857143
5,15,3.0
5,14,3.0
1,13,2.4444444444444446
0,21,1.6
1,16,2.7777777777777777
1,15,2.888888888888889
1,13,2.111111111111111
0,14,1.75
0,13,3.333333333333333
0,18,4.090909090909091
5,19,2.4444444444444446
1,12,1.6666666666666667
3,17,2.75
22,18,1.7142857142857142
40,17,2.0
0,16,1.75
0,19,3.7
7,16,2.0
0,15,2.75
20,16,4.0
1,20,3.8333333333333335
1,13,2.375
4,10,4.25
1,13,2.7777777777777777
2,13,3.4444444444444446
0,13,2.75
1,16,2.375
28,17,1.1428571428571428
0,11,3.2857142857142856
2,17,2.125
1,18,3.0
51,21,3.1818181818181817
1,15,4.0
1,12,3.25
0,17,4.1
0,15,4.222222222222222
0,14,3.6666666666666665
0,15,4.222222222222222
0,15,2.6666666666666665
0,14,2.555555555555556
2,18,3.4444444444444446
3,12,3.5
5,7,2.142857142857143
1,14,4.666666666666667
0,15,2.5
1,17,2.375
0,16,3.111111111111111
31,16,3.111111111111111
1,13,3.125
3,16,3.3
4,16,4.2
0,16,3.8
0,16,2.75
0,16,3.9
1,15,4.363636363636363
0,19,3.4
4,15,4.222222222222222
6,16,3.2222222222222223
33,17,1.6666666666666667
51,14,2.375
0,11,1.6666666666666667
0,13,3.2857142857142856
0,16,3.25
2,19,2.8181818181818183
0,17,3.7
41,15,4.0
3,16,4.636363636363637
2,15,2.625
50,15,3.555555555555556
0,11,2.375
1,12,2.0
42,12,3.125
1,18,3.5
6,16,0.6666666666666666
1,19,3.555555555555556
4,13,3.0
2,24,4.153846153846154
0,19,3.7
1,17,1.125
0,14,3.7777777777777777
35,15,2.888888888888889
10,21,2.0
6,18,3.4444444444444446
2,20,3.4
0,15,3.9
41,15,3.0
1,17,3.4
6,15,2.0
0,16,2.888888888888889
7,17,3.4444444444444446
1,15,3.0
18,20,4.2727272727272725
0,20,4.727272727272728
1,13,2.375
3,15,3.125
5,19,3.2
0,14,1.7777777777777777
0,17,2.75
20,15,1.1428571428571428
1,11,2.7142857142857144
0,16,4.090909090909091
1,20,1.75
1,16,2.7
3,16,3.111111111111111
1,9,2.375
54,16,3.2222222222222223
6,16,3.625
1,16,2.555555555555556
3,15,2.555555555555556
15,21,2.111111111111111
0,12,2.555555555555556
12,18,3.2222222222222223
1,11,3.0
0,16,1.5555555555555556
16,14,3.75
0,11,2.142857142857143
7,21,4.363636363636363
27,18,2.5
2,19,2.111111111111111
0,15,3.4444444444444446
4,19,3.727272727272727
0,15,2.625
0,11,2.833333333333333
4,17,4.333333333333333
0,19,3.6
6,17,3.5454545454545454
11,12,2.625
5,13,2.6666666666666665
2,16,2.9
5,21,3.5454545454545454
1,21,1.875
1,17,3.888888888888889
12,16,3.125
0,19,3.4
0,13,2.6666666666666665
3,11,2.375
3,17,3.111111111111111
3,14,3.888888888888889
0,14,1.875
0,14,2.333333333333333
1,15,3.2222222222222223
2,15,2.25
0,20,3.1
0,18,3.111111111111111
36,17,2.555555555555556
61,15,3.0
1,18,3.4
39,18,3.4
3,15,3.5
1,22,4.636363636363637
0,16,3.888888888888889
2,20,2.7
1,15,3.555555555555556
1,16,3.2
18,15,3.3
5,11,3.375
11,19,3.125
1,20,3.9166666666666665
0,18,4.4
1,16,2.9
1,15,3.0
0,15,4.0
23,20,1.5
9,19,5.0
3,15,3.3
3,18,3.111111111111111
0,13,2.625
0,14,2.625
52,17,2.75
3,12,2.75
15,19,4.363636363636363
0,14,2.571428571428572
0,15,1.625
1,16,3.0
0,14,2.75
14,18,2.2222222222222223
1,20,3.4545454545454546
40,8,2.0
1,16,3.555555555555556
12,16,2.875
1,13,2.0
0,16,3.4
0,16,2.7777777777777777
0,15,2.888888888888889
12,20,4.2
0,16,0.8571428571428571
1,16,1.875
17,16,3.888888888888889
24,14,3.5
1,15,2.111111111111111
14,15,2.0
6,19,2.25
1,15,3.4444444444444446
37,18,3.6
19,16,1.8571428571428568
29,18,2.0
0,14,3.0
1,23,4.916666666666667
4,16,4.222222222222222
0,14,2.888888888888889
5,18,3.6
53,18,2.888888888888889
0,17,2.0
1,16,3.0
9,15,3.7777777777777777
2,23,4.0
0,13,2.7777777777777777
17,17,2.0
0,18,2.888888888888889
0,17,4.4
2,18,2.7
0,17,3.555555555555556
8,14,0.3333333333333333
1,15,3.2222222222222223
2,17,3.333333333333333
30,13,1.4285714285714286
2,14,3.0
11,11,2.75
0,18,3.0
12,16,1.75
53,20,1.375
3,15,2.333333333333333
0,15,3.111111111111111
22,16,1.7142857142857142
2,22,3.0
0,16,3.111111111111111
1,20,5.083333333333333
52,15,2.2222222222222223
20,20,3.6
14,18,2.111111111111111
20,15,2.375
1,21,2.5
0,15,2.555555555555556
0,5,1.0
2,19,4.9
2,13,1.7142857142857142
6,21,3.9
12,13,2.25
0,16,1.25
0,16,2.4444444444444446
50,15,2.375
1,21,3.6
0,17,1.375
12,19,2.6666666666666665
0,15,2.0
15,19,4.2
7,15,1.0
1,15,2.0
2,16,2.7777777777777777
0,15,3.333333333333333
3,17,4.454545454545454
2,18,2.7777777777777777
22,18,2.75
0,21,3.090909090909091
0,22,0.6666666666666666
3,14,2.25
4,22,4.416666666666667
1,14,2.75
18,17,3.555555555555556
0,15,3.111111111111111
0,15,3.5454545454545454
0,15,1.5555555555555556
0,14,3.25
1,15,3.333333333333333
48,14,2.625
2,15,2.75
44,13,4.125
2,22,4.0
7,17,2.4444444444444446
1,15,2.6666666666666665
0,11,2.625
3,16,3.125
57,16,3.0
19,18,2.0
5,14,3.125
0,14,3.0
48,15,2.75
27,17,1.875
10,14,4.5
1,14,2.0
30,14,3.125
1,14,3.7777777777777777
24,13,1.0
2,18,2.7777777777777777
36,15,3.2222222222222223
19,13,4.5
3,10,3.0
0,21,1.7777777777777777
2,18,4.2
10,17,0.8571428571428571
2,22,2.4444444444444446
58,13,3.333333333333333
2,16,3.7
5,16,4.0
40,20,2.333333333333333
25,19,2.555555555555556
29,14,2.2857142857142856
0,15,2.25
0,14,3.0
52,17,3.8
1,16,3.7
0,11,1.6666666666666667
1,19,2.25
0,14,1.8888888888888888
45,17,2.375
0,14,1.5714285714285714
1,15,1.7142857142857142
2,15,3.0
4,19,1.375
1,18,2.4444444444444446
2,19,3.5
9,16,3.2222222222222223
2,20,3.6
6,17,0.875
20,17,3.6
2,16,3.3
2,18,0.7142857142857143
3,18,2.0
0,18,4.0
10,14,3.375
23,17,1.0
0,18,4.4
8,12,1.0
1,14,2.75
0,17,5.0
0,18,3.6
0,16,3.7
1,17,2.8
1,15,3.375
1,16,2.9
0,16,2.0
1,14,3.2222222222222223
2,15,1.875
1,14,2.125
0,16,2.0
1,16,2.0
14,18,2.5
0,14,3.333333333333333
11,18,3.4444444444444446
1,19,3.0
1,13,2.25
1,20,4.090909090909091
1,18,4.0
