match_id,game_length,puuid,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players,placement
NA1_5220071029,1977.794921875,fJNWw77g7BsR4ljkENuxdTeU1cpJjazAZ675_Fqltj2D6-8Ej_esR0j3d5HQliXxPLtyhoDVD7npXg,4,35,4,1964.9774169921875,191,1
NA1_5221374248,2207.0146484375,nTaUVVKhPSu4xXE1xzsgdWggo4aksX65-AxRwAPZqFG7c8y8iWWrzUIzmjH1P0_vefbVK6mFlaJ_nw,0,30,0,1718.337890625,61,6
NA1_5221374248,2207.0146484375,oSTQ7bL0hN-Os6T0N9vba0VNG0KcFUfhBDdrPZrY48vGJDg6w5guPfyHBkZ387780WxeUuUAogaeZA,3,28,0,1622.221435546875,52,8
NA1_5221374248,2207.0146484375,qFDGRDn9XU61kUifFOWRm6gMvNFTEcEsHtVxSz-6tVPofb_08fPqV8DEGhaF3HzkfZAlmUEE5fAOrg,51,39,3,2194.840576171875,188,1
NA1_5221374248,2207.0146484375,Rid9uvSukINwGv-ucu48H4ZnkvrzIFy1Ax_kTqu3rO26n0FI4tKP_zxSOjJ_YoN5jf4fJyzeXD4T2A,1,35,0,2011.6214599609375,130,3
NA1_5221374248,2207.0146484375,wjziaJEizlKMauVJsK2LEks5lceAKt12okHZjh6Hk7NWIL6NEY4-eaNVr4tQrkns_EEImHz9ngI4bw,39,39,3,2194.840576171875,141,2
NA1_5221374248,2207.0146484375,Va4hPQ78xVz3kOxHrLFLBKygEkkg29Ri5rVZxooMay80TpkzN48eRoScPnPN4uYBITiTwmz_P8ytKg,2,28,0,1621.770751953125,64,7
NA1_5221374248,2207.0146484375,vXky5fgshpIZPi3-X_RoQ7VUK01L_tlhxs2-W68IoJPOhcv5LnvvwW0p5bPVf2ScoddC-oLBlTG2PA,13,30,0,1712.02978515625,81,5
NA1_5221374248,2207.0146484375,rEBkrI-eHhegOnga8k4x-KdY7VrlLv3b82wDQQ4_1xyRy9wmJnLtF-yU4UvonVD7_xqsbZ6qxs-MnA,32,31,0,1777.36865234375,91,4
NA1_5220156792,2098.0712890625,9YrzSwC2L8QjDUJ7bkdsFsEF-N42YuA5keHYZsENW32KhLLBUsMPHntREdiI6cWxkN92DeTKLBeCHw,5,30,1,1744.2535400390625,85,5
NA1_5220156792,2098.0712890625,OtSo3X5vNfkNnxXb9uZQVIoQW8I--lLdFG55Td4jRv3uXYIsbMbVvIqJbOyiAfrehKf5ugLFMEv98w,20,26,0,1510.7679443359375,41,8
NA1_5220156792,2098.0712890625,ODENQsl0YTLSsZA6GelM18gMNz2syVjdGJpIZJWbRWDi7vxcH3BljMQGQ3ksODjdrR3Li5BbosxQsg,0,28,0,1652.865234375,52,6
NA1_5220156792,2098.0712890625,NQN8ERYmBXpoFJcTEdhVPw0ydCEvPlT_fFp0OBauJiHpG75Z4PUu1Ur3Sx99PH2aSw31I8-xNOFkHg,11,32,0,1808.0716552734375,87,3
NA1_5220156792,2098.0712890625,JT_zjeZ09kq3eYafSESOhIE_SPWySAOrH7RNLmrMH5EfvdbM2dwR_2BR83T8x-9HnsrlsEbXGtViKg,1,37,4,2084.903564453125,221,1
NA1_5220156792,2098.0712890625,og8ezh32U680410_R7sa77Tiwb-FbMWN7pFk51ESMbZHE2wARuT_t6fcAOYzp__1MEfzIgk5blWfHg,1,27,0,1581.0570068359375,37,7
NA1_5220156792,2098.0712890625,A5C2U0RmiHhQ-l94FcWBi7zw4kPm1NmrZW9qzovLk0xR3QsiGH2sgxS2LkK6sm2tz0r8taOyerbmCA,16,31,0,1803.6563720703125,76,4
NA1_5220156792,2098.0712890625,VEraJCw1b8-hhYOR2w6a41Gvxda_Z3VEmYhoAyglmx3u7587UuvKJFuQMX-HriDTda_sPh5cZcHJ_A,19,37,1,2084.903564453125,162,2
NA1_5220671593,2044.079345703125,fKqbXbKSqs1O1EV7unjFcUVaOcA2Qu94HYWzjTisVQOJuwe70SCRvq7JBYkSAsHAWRik-Emj_9acHw,10,35,3,2030.911376953125,189,1
NA1_5220671593,2044.079345703125,Va4hPQ78xVz3kOxHrLFLBKygEkkg29Ri5rVZxooMay80TpkzN48eRoScPnPN4uYBITiTwmz_P8ytKg,0,27,0,1574.635986328125,49,8
NA1_5220671593,2044.079345703125,N6hUbf5jCA8XIDtWZcM67gJ3Wi06hzcTKTE-uFzfExvQPqW_RMCacerisSiUXQiUOJ1xikeQ-EiGcw,14,35,0,2030.911376953125,125,3
NA1_5220671593,2044.079345703125,wjziaJEizlKMauVJsK2LEks5lceAKt12okHZjh6Hk7NWIL6NEY4-eaNVr4tQrkns_EEImHz9ngI4bw,3,35,2,2020.5975341796875,120,2
NA1_5220671593,2044.079345703125,_2HH0iiP-q2-99mAe7mk7qKn1QGiuQNfcRMqvuJiDOZZSKqZ0G5kajAmz88mBwg2geXDLZhA-VcK6w,4,28,0,1642.7972412109375,64,6
NA1_5220671593,2044.079345703125,6nEjICad_Tus_4IP3J1w_HIANW2l548Inkh1-3y_Qy2GFkGza709t6Jfo4CT3muCEqm3GLLld3leKg,2,27,0,1581.0445556640625,55,7
NA1_5220671593,2044.079345703125,gAiBqaiZoagd_itCEe4X2cVbvHrrkvnbIIcCPf0-n3qDbsQ63wXqekLa2_w2WMJMo6WGCdQjfZ8Kwg,0,34,1,1964.7779541015625,129,4
NA1_5220671593,2044.079345703125,vsEDgKF7xLCkfORgosaet9L2d8KEpDAvocIOAT7_UjnxfwArezWeVjIB2H_bJqflZNAeSqmXo9Qb2Q,0,28,0,1640.2437744140625,67,5
NA1_5217808171,2349.04248046875,_rgjwLHAePIfd2ByRNIIKxSCSrTNFYpsNygYQXFj4pAI_l4F9FTk5daPgFPGE7vfXcfKCvXjOabD7w,2,41,1,2335.861572265625,174,1
NA1_5217808171,2349.04248046875,PlB-8bXpVj0oKAnZBx7u6eT2VM8ckj5yoIStKPUpozkG1Na79ov5NHcvZ12VR8pCONGscNAUfdLlcQ,2,26,0,1461.1876220703125,48,7
NA1_5217808171,2349.04248046875,ldEqv22wC68ucVrtJMhhC-WPK26HCzNuo573ZVOABv7G02ENpIHm5n0c9rnIdbYAGCNvJNNu7YEA-g,12,41,3,2335.210693359375,196,2
NA1_5217808171,2349.04248046875,zdaggeXpTlbgKnBhqMRmZZFBx5RuuUOhigbNu427wmDU97WofDe2lkej6pJh3GOZRXkLFW5neYfJNQ,1,26,0,1465.04296875,43,6
NA1_5217808171,2349.04248046875,B7jrZcHlpfVzYaDD1DIuienopEj0AZqo7-qQIj53WyXQt-gAL-tzG9-RzjrLhGWV0-e0LChTeMPNKw,30,26,0,1465.2432861328125,44,8
NA1_5217808171,2349.04248046875,i3Xwwg76MKoJ1xk9w26o3xs4DGs0dQiq_0G1tLXHIpkKNFGEqLjNu_w2zqz9G5Un9eniLWiVCApiqg,0,34,1,1937.7884521484375,122,4
NA1_5217808171,2349.04248046875,IsKND1AAPXC2wxkk_VTbjkkJQS1JChulE2tcl1HYg37evEb1qO4bMhgM04LklX4Ufscv3jPkUH6f5A,1,33,1,1875.2598876953125,62,5
NA1_5217808171,2349.04248046875,vBscfHqSfdXBhjH86pite3Z0zaJLhyKKvsDxyFa1lmwOik6_JBho_wvFFZ2OiMmvwIwUJO6QZ5kUBQ,3,41,1,2330.654052734375,161,3
NA1_5219066342,2127.451416015625,QE6SFm4wuQca_hVOIHQ7XATthybdndGVCCYp3Y7O3elixemEft_M8Xc56aGd1566bysgVLw-kLoM6Q,0,31,0,1756.3087158203125,86,5
NA1_5219066342,2127.451416015625,rbWTr9hHoT4e2uo5i97_oEg3y0fm8-zb_4cwpjEdzq9hkmcOB9G5-lqu4nxqtRFO8rC1UXD2HQrtLA,1,27,0,1524.709716796875,29,8
NA1_5219066342,2127.451416015625,z4jaLYAo1sgvo3seiJ9ufnfOaBAX3nOk6lC34kd7zMWUghdjiC_rQWgKXJmFwr2o6pXVTwpKNUV1gQ,11,33,1,1846.9630126953125,88,4
NA1_5219066342,2127.451416015625,k0IaZl6lA2MmxtILKXFWClZs8pL8GKBDUonh52tF29ZWIFXMkIj1r7F_71hibMGfNUg-uhnr_5ubmQ,0,35,1,1975.0213623046875,161,3
NA1_5219066342,2127.451416015625,Hpeb0KBe6iEHHuHCgu-Htld1kf3Kx-M9VMguhVJI1M49b4M87X7sWs7vAn_r46hiX7MPcaV9DSY6Sg,1,31,0,1755.1070556640625,81,6
